event_type	onset	duration	height	word
3	0.000	16.764	1	
6	0.759	0.000	0	William
6	1.204	0.000	0	Shakespeare—
6	3.031	0.000	0	you
6	3.280	0.000	0	probably
6	3.785	0.000	0	know
6	4.093	0.000	0	his
6	4.253	0.000	0	name
6	5.196	0.000	0	even
6	5.487	0.000	0	if
6	5.701	0.000	0	you
6	5.849	0.000	0	haven't
6	6.223	0.000	0	read
6	6.496	0.000	0	anything
6	7.041	0.000	0	by
6	7.338	0.000	0	him
6	7.587	0.000	0	yet.
6	8.874	0.000	0	He
6	8.981	0.000	0	lived
6	9.384	0.000	0	four
6	9.675	0.000	0	hundred
6	10.031	0.000	0	and
6	10.191	0.000	0	fifty
6	10.541	0.000	0	years
6	10.844	0.000	0	ago,
6	11.763	0.000	0	wrote
6	11.965	0.000	0	at
6	12.090	0.000	0	least
6	12.552	0.000	0	thirty-five
6	13.234	0.000	0	plays,
6	14.130	0.000	0	and
6	14.267	0.000	0	more
6	14.445	0.000	0	than
6	14.664	0.000	0	one
6	14.972	0.000	0	hundred
6	15.406	0.000	0	and
6	15.589	0.000	0	fifty
6	15.969	0.000	0	poems.
6	16.764	0.000	0	
4	17.764	18.721	1	
7	18.177	0.000	0	Eg
7	18.420	0.000	0	Oxjhemg,
7	19.488	0.000	0	jmu
7	19.658	0.000	0	jun
7	19.925	0.000	0	ox
7	20.022	0.000	0	ejki
7	20.374	0.000	0	e
7	20.459	0.000	0	mugupoq,
7	21.552	0.000	0	zupmac
7	21.783	0.000	0	qudl
7	22.074	0.000	0	gtoqosfekm
7	22.645	0.000	0	etp
7	22.778	0.000	0	licfeod.
7	24.004	0.000	0	Uh
7	24.211	0.000	0	luowl
7	24.611	0.000	0	u
7	24.733	0.000	0	qeaq
7	24.927	0.000	0	ciz
7	25.243	0.000	0	ni
7	25.364	0.000	0	mejaf
7	25.716	0.000	0	Icpcoxb'w
7	26.275	0.000	0	xvierobg
7	26.700	0.000	0	vyuxvzecmdk
7	27.222	0.000	0	ed
7	27.428	0.000	0	macz.
7	29.164	0.000	0	Glu
7	29.273	0.000	0	Kxozafrootu
7	29.783	0.000	0	hujotf
7	30.233	0.000	0	hefip
7	30.852	0.000	0	od
7	30.985	0.000	0	Wbtemraqz-egiq-Igax,
7	32.406	0.000	0	Akbtesh,
7	33.401	0.000	0	eveom
7	33.681	0.000	0	100
7	34.263	0.000	0	sogux
7	34.664	0.000	0	ciwgmjaxx
7	35.380	0.000	0	ex
7	35.526	0.000	0	Rumgew.
7	36.485	0.000	0	
3	51.916	12.706	1	
6	52.344	0.000	0	Many
6	52.707	0.000	0	people
6	53.020	0.000	0	think
6	53.218	0.000	0	Shakespeare
6	54.009	0.000	0	is
6	54.190	0.000	0	the
6	54.371	0.000	0	greatest
6	54.767	0.000	0	playwright
6	55.278	0.000	0	who
6	55.451	0.000	0	ever
6	55.797	0.000	0	lived.
6	56.843	0.000	0	Everything
6	57.264	0.000	0	Shakespeare
6	57.882	0.000	0	wrote
6	58.442	0.000	0	has
6	58.615	0.000	0	been
6	58.837	0.000	0	translated
6	59.439	0.000	0	into
6	59.719	0.000	0	dozens
6	60.098	0.000	0	of
6	60.213	0.000	0	languages,
6	61.375	0.000	0	from
6	61.622	0.000	0	Spanish
6	62.282	0.000	0	to
6	62.430	0.000	0	Japanese
6	63.419	0.000	0	to
6	63.633	0.000	0	Swahili.
6	64.622	0.000	0	
4	65.622	17.318	1	
7	66.206	0.000	0	JRUXLIB
7	66.902	0.000	0	1
7	68.003	0.000	0	XEJYZA
7	68.362	0.000	0	FUZV.
7	69.935	0.000	0	Zuxg
7	70.316	0.000	0	Suxs
7	70.811	0.000	0	xeg
7	71.035	0.000	0	menmubos
7	71.844	0.000	0	uy
7	72.001	0.000	0	Bvcuvyuzs'k
7	72.720	0.000	0	Yesf
7	73.124	0.000	0	Mmafudb
7	73.596	0.000	0	Yzofrn,
7	74.404	0.000	0	ah
7	74.651	0.000	0	1564.
7	76.606	0.000	0	Gri
7	76.830	0.000	0	ufebf
7	77.347	0.000	0	fili
7	77.616	0.000	0	es
7	77.729	0.000	0	seg
7	77.953	0.000	0	xuggt
7	78.212	0.000	0	ag
7	78.369	0.000	0	adtdaqb,
7	79.537	0.000	0	qos
7	79.694	0.000	0	av
7	79.863	0.000	0	er
7	80.020	0.000	0	luqocbohas
7	81.075	0.000	0	iy
7	81.266	0.000	0	Oqvut
