paradigm,condition,onset,difficulty,match,item1,item2,response,rt,correct,newDifficulty
semwritten,language,0.058,6,0,clumsy,freight,0,0,1,6
semwritten,language,2.507,6,1,oboe,clarinet,1,1.029,1,7
semwritten,language,5.006,7,0,squint,distortion,1,1.426,0,5
semwritten,language,7.505,5,1,haze,mist,1,1.055,1,5
semwritten,language,10.004,5,0,measure,educator,0,0,1,6
semwritten,language,12.503,6,0,goddess,poverty,0,0,1,6
semwritten,language,15.002,6,1,avalanche,glacier,1,0.989,1,7
semwritten,language,17.518,7,1,thinker,astute,1,1.377,1,7
semwritten,perceptual,20.017,4,1,ϞƟƟƘƋƏΔ,ϞƟƟƘƋƏΔ,1,0.974,1,4
semwritten,perceptual,22.516,4,0,δΓƧЖƕΔƜ,δΓƧЖδΔƏ,1,1.179,0,2
semwritten,perceptual,25.016,2,1,ΦδƕϞΞƕ,ΦδƕϞΞƕ,1,1.344,1,2
semwritten,perceptual,27.515,2,0,ƘЖʖƟΦƟƟ,ƏΦʖƟΓΔƩ,0,0,1,3
semwritten,perceptual,30.014,3,1,ƋƘΘΨƋϞδ,ƋƘΘΨƋϞδ,1,1.41,1,3
semwritten,perceptual,32.513,3,0,ΔƩϞƋƱƧϞ,ƘƱϞƋƱƧƧ,0,0,1,4
semwritten,perceptual,35.012,4,1,ΦƩƱΦƏŒƟ,ΦƩƱΦƏŒƟ,1,1.427,1,4
semwritten,perceptual,37.511,4,0,ƘƘƟƘΨʖ,ƘƜƟƘΨƘ,0,0,1,5
semwritten,language,40.01,7,0,enthusiasm,derivation,0,0,1,7
semwritten,language,42.226,7,1,revolt,defiance,1,1.189,1,7
semwritten,language,44.459,7,0,airship,incantation,0,0,1,7
semwritten,language,46.675,7,1,brisket,entree,1,1.109,1,7
semwritten,language,48.891,7,1,hesitation,inaction,1,1.197,1,7
semwritten,language,51.123,7,0,valor,deluge,0,0,1,7
semwritten,language,53.339,7,1,domination,conquest,1,1.02,1,7
semwritten,language,55.572,7,0,contribution,eternity,0,0,1,7
semwritten,language,57.787,7,0,reduction,receptive,0,0,1,7
semwritten,perceptual,60.003,5,1,ƱΓδΞΘƩΘΓ,ƱΓδΞΘƩΘΓ,1,1.236,1,5
semwritten,perceptual,62.236,5,1,ʖƩΨΔƟδΓƩ,ʖƩΨΔƟδΓƩ,1,1.3,1,6
semwritten,perceptual,64.452,6,0,ΞЖƕΞŒƱƱδ,ΞЖƕΞŒƟϞδ,0,0,1,6
semwritten,perceptual,66.684,6,1,ϞƜƏΞŒΨƟŒ,ϞƜƏΞŒΨƟŒ,1,1.707,1,7
semwritten,perceptual,68.9,7,0,ЖƋΞƘЖƕϞΓʖ,ЖƋΞƘΨƕϞΓʖ,1,1.907,0,5
semwritten,perceptual,71.116,5,0,ƧŒʖƟƏƘƟƧΞ,ƧŒʖƟƏƘƟƧƩ,0,0,1,5
semwritten,perceptual,73.349,5,1,ŒƋƜΞϞΓʖŒƘ,ŒƋƜΞϞΓʖŒƘ,1,1.642,1,6
semwritten,perceptual,75.565,6,0,ƘΘƋϞƱƜʖƜ,ƜδƋϞƱƜʖƜ,0,0,1,6
semwritten,perceptual,77.78,6,0,ΞΦʖŒƘδʖΨƏ,ΨΦʖŒƘƏʖΨƏ,0,0,1,7
semwritten,language,80.013,7,1,inaction,equanimity,0,0,0,5
semwritten,language,82.012,5,0,lark,noun,0,0,1,5
semwritten,language,84.012,5,0,stupid,vile,0,0,1,6
semwritten,language,86.011,6,1,outbreak,vaccination,1,1.276,1,6
semwritten,language,88.01,6,0,brilliant,cruiser,0,0,1,7
semwritten,language,90.01,7,0,exclusion,immensity,0,0,1,7
semwritten,language,92.009,7,1,surtax,production,0,0,0,5
semwritten,language,94.008,5,0,prop,hairpin,0,0,1,5
semwritten,language,96.007,5,1,cure,treatment,1,0.831,1,6
semwritten,language,98.007,6,1,cruel,heartless,1,1.12,1,6
semwritten,perceptual,100.006,7,0,ƜʖΞƏʖƏδ,ΞʖΞƏʖƏδ,0,0,1,7
semwritten,perceptual,102.005,7,1,ƏΔϞƜЖΔΦ,ƏΔϞƜЖΔΦ,1,1.041,1,7
semwritten,perceptual,104.005,7,0,ƋƕƩƘƏƏ,ƋƕƩƘΨƏ,0,0,1,7
semwritten,perceptual,106.004,7,1,ƜΓΔΦƧƋƋ,ƜΓΔΦƧƋƋ,1,1.251,1,7
semwritten,perceptual,108.003,7,0,ƕƧƧƩΦƟŒΘ,ƩƧƧƩΦƟŒΘ,0,0,1,7
semwritten,perceptual,110.019,7,0,ƘƧƜƜƕϞΞ,ƘƧƜƜƕƧΞ,1,1.267,0,5
semwritten,perceptual,112.019,5,1,ƏƩΨƟƜƧ,ƏƩΨƟƜƧ,1,1.596,1,5
semwritten,perceptual,114.018,5,0,ƜƘΔƟƧŒƧ,ƧƘΔƟƧŒƧ,0,0,1,6
semwritten,perceptual,116.017,6,1,ƏΘΘƟŒƩΘʖ,ƏΘΘƟŒƩΘʖ,1,1.157,1,6
semwritten,perceptual,118.016,6,1,ʖΘŒʖƘϞƱ,ʖΘŒʖƘϞƱ,1,1.67,1,7
semwritten,language,120.016,6,1,venture,exploration,1,0.95,1,7
semwritten,language,122.232,7,1,shady,legitimate,0,0,0,5
semwritten,language,124.448,5,0,citizen,literature,0,0,1,5
semwritten,language,126.68,5,0,laughter,beloved,0,0,1,6
semwritten,language,128.896,6,1,succeed,prosper,1,0.886,1,6
semwritten,language,131.128,6,1,situation,circumstance,1,1.206,1,7
semwritten,language,133.344,7,0,oboe,justification,0,0,1,7
semwritten,language,135.56,7,1,sensation,clammy,1,2.118,1,7
semwritten,language,137.793,7,0,chatterbox,apathy,0,0,1,7
semwritten,perceptual,140.009,7,0,ϞƘƏΔƩƟƜƜ,ƋƘƏΔƩƟƜƜ,0,0,1,7
semwritten,perceptual,142.225,7,1,ƟƧƕƜƘƜƜƏ,ƟƧƕƜƘƜƜƏ,1,0.966,1,7
semwritten,perceptual,144.457,7,1,ƱƱΔΔʖΦΞƧ,ƱƱΔΔʖΦΞƧ,1,1.053,1,7
semwritten,perceptual,146.673,7,0,ʖƏΨƧŒΔƱƘ,ʖƏΨƧŒΔƱƱ,1,1.613,0,5
semwritten,perceptual,148.906,5,1,ΘƏƟδЖδƘƱ,ΘƏƟδЖδƘƱ,1,2.005,1,5
semwritten,perceptual,151.122,5,0,ƱƩΞΘƟΦƕΓ,ƱƩΞΘƟΦƕΔ,0,0,1,6
semwritten,perceptual,153.337,6,1,ϞδΘŒƧδδƜ,ϞδΘŒƧδδƜ,1,1.804,1,6
semwritten,perceptual,155.57,6,0,ΔƟЖΨϞʖƩ,ΔƟЖƏϞʖΓ,0,0,1,7
semwritten,perceptual,157.786,7,1,ƱƟΞƕƧƱЖƕ,ƱƟΞƕƧƱЖƕ,1,1.812,1,7
semwritten,language,160.018,7,1,monsoon,deluge,1,1.451,1,7
semwritten,language,162.018,7,0,emancipation,fissure,1,1.404,0,5
semwritten,language,164.017,5,0,wizard,aerial,0,0,1,5
semwritten,language,166.016,5,1,cottage,manor,1,1.494,1,6
semwritten,language,168.016,6,0,reap,rode,0,0,1,6
semwritten,language,170.015,6,1,sneer,snub,1,0.903,1,7
semwritten,language,172.014,7,0,orchid,sobriety,0,0,1,7
semwritten,language,174.014,7,1,deity,supplication,0,0,0,5
semwritten,language,176.013,5,1,wool,knitting,1,1.113,1,5
semwritten,language,178.012,5,0,spade,donor,0,0,1,6
semwritten,perceptual,180.011,7,1,ƘƱƋƧΔƟ,ƘƱƋƧΔƟ,1,1.114,1,7
semwritten,perceptual,182.011,7,1,ƘƋΨΓƧΓ,ƘƋΨΓƧΓ,1,1.411,1,7
semwritten,perceptual,184.01,7,0,ƘŒƕΦʖϞ,ƘΓƕΦʖϞ,0,0,1,7
semwritten,perceptual,186.009,7,1,ƋƕƏΓЖƏΨ,ƋƕƏΓЖƏΨ,1,1.413,1,7
semwritten,perceptual,188.009,7,0,ƟƩƕΞΞƘ,ʖƩƕΞΞƘ,0,0,1,7
semwritten,perceptual,190.008,7,1,ƋƜƘΨΘδ,ƋƜƘΨΘδ,1,1.398,1,7
semwritten,perceptual,192.007,7,0,ΨƟЖƩΔƟʖ,ΨƟƟƩΔƟʖ,0,0,1,7
semwritten,perceptual,194.007,7,1,ƘƩŒŒŒƕ,ƘƩŒŒŒƕ,1,1.343,1,7
semwritten,perceptual,196.006,7,0,ƧЖΘЖΔΞ,ƧЖδЖΔΞ,0,0,1,7
semwritten,perceptual,198.005,7,0,ƜΔƧƩƟƋ,ƜΔƧƩƟΨ,0,0,1,7
semwritten,language,200.004,6,1,rabbi,synagogue,1,1.089,1,6
semwritten,language,202.237,6,0,headquarters,hardship,0,0,1,7
semwritten,language,204.453,7,1,gardenia,carnation,0,0,0,5
semwritten,language,206.669,5,0,attendant,blush,0,0,1,5
semwritten,language,208.901,5,1,tripod,lens,1,1.2,1,6
semwritten,language,211.117,6,0,responsibility,incense,0,0,1,6
semwritten,language,213.35,6,0,abode,seaman,0,0,1,7
semwritten,language,215.566,7,1,haste,impatience,1,1.632,1,7
semwritten,language,217.782,7,1,humane,extermination,0,0,0,5
semwritten,perceptual,220.014,7,1,ΔƘΘƩδϞƟЖΔ,ΔƘΘƩδϞƟЖΔ,1,1.655,1,7
semwritten,perceptual,222.23,7,0,ƧЖƋΘƟΦʖƧ,ƧЖƋΘŒΦʖƧ,0,0,1,7
semwritten,perceptual,224.463,7,0,ƋΔϞʖƧΞΦƧ,ƋΓϞʖƧΞΦƧ,0,0,1,7
semwritten,perceptual,226.678,7,1,ΘΓƕϞΞΘδЖ,ΘΓƕϞΞΘδЖ,1,1.775,1,7
semwritten,perceptual,228.894,7,1,ƱƟŒƟΘƘΓƋ,ƱƟŒƟΘƘΓƋ,1,1.847,1,7
semwritten,perceptual,231.127,7,0,ƟʖδƜΦΦΔƱ,ƟʖƜƜΦΦΔƱ,0,0,1,7
semwritten,perceptual,233.343,7,1,ƏΨΘƋΔƧƩƕ,ƏΨΘƋΔƧƩƕ,0,0,0,5
semwritten,perceptual,235.559,5,1,ΞƏΔƋƱƧƧΞ,ΞƏΔƋƱƧƧΞ,1,1.559,1,5
semwritten,perceptual,237.791,5,0,ƏΨΓΦƕЖƧΓ,ϞΨΓΦƕЖƧΓ,0,0,1,6
semwritten,language,240.199,5,0,reed,curfew,0,0,1,5
semwritten,language,242.515,5,0,blame,wail,0,0,1,6
